
1 Alabama 5,341 1.33 1.47
2 Alaska 3,675 0.91 0.21
4 Arizona 10,291 2.56 2.21
5 Arkansas 5,244 1.30 0.90
6 California 4,798 1.19 11.83
8 Colorado 10,184 2.53 1.76
9 Connecticut 8,982 2.23 1.09
10 Delaware 4,025 1.00 0.30
11 District of Columbia 3,428 0.85 0.22
12 Florida 11,799 2.94 6.76
13 Georgia 9,090 2.26 3.17
15 Hawaii 7,754 1.93 0.43
16 Idaho 5,986 1.49 0.53
17 Illinois 3,687 0.92 3.77
18 Indiana 8,480 2.11 2.00
19 Iowa 9,663 2.40 0.94
20 Kansas 10,527 2.62 0.85
21 Kentucky 3,934 0.98 1.34
22 Louisiana 4,760 1.18 1.37
23 Maine 11,015 2.74 0.42
24 Maryland 14,292 3.56 1.82
25 Massachusetts 7,181 1.79 2.14
26 Michigan 7,269 1.81 3.02
27 Minnesota 15,835 3.94 1.68
28 Mississippi 6,479 1.61 0.88
29 Missouri 9,203 2.29 1.84
30 Montana 6,315 1.57 0.33
31 Nebraska 14,796 3.68 0.56
32 Nevada 2,480 0.62 0.94 
33 New Hampshire 6,437 1.60 0.43
34 New Jersey 11,382 2.83 2.68
35 New Mexico 7,005 1.74 0.62
36 New York 14,769 3.67 5.91
37 North Carolina 5,842 1.45 3.20
38 North Dakota 4,469 1.11 0.22
39 Ohio 14,676 3.65 3.51
40 Oklahoma 5,049 1.26 1.16
41 Oregon 5,426 1.35 1.31
42 Pennsylvania 5,541 1.38 3.91
44 Rhode Island 5,378 1.34 0.33
45 South Carolina 4,014 1.00 1.58
46 South Dakota 6,931 1.72 0.26
47 Tennessee 4,661 1.16 2.07
48 Texas 11,042 2.75 8.46
49 Utah 10,921 2.72 0.90
50 Vermont 6,540 1.63 0.20
51 Virginia 9,552 2.38 2.58
53 Washington 12,902 3.21 2.33
54 West Virginia 5,880 1.46 0.55
55 Wisconsin 5,099 1.27 1.76
56 Wyoming 4,802 1.19 0.17
66 Guam 2,183 0.54 0.04
72 Puerto Rico 4,944 1.23 1.05
